renovation_type,bedrooms_to_reno,bathrooms_to_reno,sqft_to_add,structural_changes,sqft_renovated,material_grade,property_size,location,renovation_cost,pre_renovation_cost
['Kitchen'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 80}}",['No'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 217}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'High-end'}}",1446,Oldham,34563.3,289200.0
['Bathroom'],0,2,"{'bedrooms': [], 'bathrooms': [43, 11], 'other': {}}","['Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [99, 49], 'other': {}}","{'bedrooms': [], 'bathrooms': ['High-end', 'High-end'], 'other': {}}",587,Manchester City Centre,52204.5,174632.5
"['Kitchen', 'Bathroom']",0,3,"{'bedrooms': [], 'bathrooms': [6, 78, 24], 'other': {'Kitchen': 293}}","['Yes', 'Yes', 'No', 'Yes']","{'bedrooms': [], 'bathrooms': [47, 61, 62], 'other': {'Kitchen': 141}}","{'bedrooms': [], 'bathrooms': ['Budget-friendly', 'Budget-friendly', 'High-end'], 'other': {'Kitchen': 'Budget-friendly'}}",1208,Sale,111092.54,335220.0
"['Bathroom', 'Living room', 'Other']",0,3,"{'bedrooms': [], 'bathrooms': [28, 22, 12], 'other': {'Living room': 82, 'Other': 27}}","['Yes', 'Yes', 'Yes', 'Yes', 'No']","{'bedrooms': [], 'bathrooms': [65, 98, 68], 'other': {'Living room': 153, 'Other': 130}}","{'bedrooms': [], 'bathrooms': ['High-end', 'High-end', 'High-end'], 'other': {'Living room': 'Mid-range', 'Other': 'Mid-range'}}",744,Salford,118605.54,156240.0
"['Kitchen', 'Living room']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 259, 'Living room': 300}}","['Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 197, 'Living room': 204}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'Budget-friendly', 'Living room': 'High-end'}}",1185,Bolton,68323.01,211522.5
['Bathroom'],0,2,"{'bedrooms': [], 'bathrooms': [46, 45], 'other': {}}","['Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [91, 61], 'other': {}}","{'bedrooms': [], 'bathrooms': ['Budget-friendly', 'Mid-range'], 'other': {}}",994,Rochdale,40476.88,188860.0
['Living room'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 42}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 193}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 'High-end'}}",727,Manchester City Centre,25693.14,254450.0
"['Kitchen', 'Living room']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 248, 'Living room': 147}}","['Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 217, 'Living room': 100}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'High-end', 'Living room': 'Mid-range'}}",1380,Stockport,65332.33,304980.0
['Bathroom'],0,2,"{'bedrooms': [], 'bathrooms': [56, 30], 'other': {}}","['No', 'Yes']","{'bedrooms': [], 'bathrooms': [80, 87], 'other': {}}","{'bedrooms': [], 'bathrooms': ['Budget-friendly', 'High-end'], 'other': {}}",1323,Stretford,56191.58,371101.5
"['Bathroom', 'Bedroom', 'Kitchen']",1,2,"{'bedrooms': [172], 'bathrooms': [48, 56], 'other': {'Kitchen': 125}}","['No', 'Yes', 'Yes', 'Yes']","{'bedrooms': [153], 'bathrooms': [44, 61], 'other': {'Kitchen': 280}}","{'bedrooms': ['Budget-friendly'], 'bathrooms': ['Budget-friendly', 'High-end'], 'other': {'Kitchen': 'Mid-range'}}",1229,Altrincham,110826.3,387135.0
"['Kitchen', 'Other']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 275, 'Other': 105}}","['Yes', 'No']","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 196, 'Other': 125}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'Mid-range', 'Other': 'Mid-range'}}",1465,Bolton,57291.73,261502.5
"['Other', 'Kitchen', 'Living room']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 279, 'Kitchen': 22, 'Living room': 47}}","['Yes', 'No', 'No']","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 146, 'Kitchen': 242, 'Living room': 177}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 'Mid-range', 'Kitchen': 'Budget-friendly', 'Living room': 'Mid-range'}}",1607,Wigan,122243.69,253102.5
"['Bathroom', 'Living room', 'Bedroom']",3,2,"{'bedrooms': [32, 179, 55], 'bathrooms': [35, 56], 'other': {'Living room': 291}}","['No', 'Yes', 'Yes', 'No', 'Yes', 'Yes']","{'bedrooms': [180, 183, 147], 'bathrooms': [51, 88], 'other': {'Living room': 151}}","{'bedrooms': ['Budget-friendly', 'High-end', 'Mid-range'], 'bathrooms': ['Mid-range', 'Budget-friendly'], 'other': {'Living room': 'High-end'}}",1585,Tameside,180091.61000000002,261525.0
"['Kitchen', 'Other']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 177, 'Other': 108}}","['Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 109, 'Other': 157}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'Budget-friendly', 'Other': 'Mid-range'}}",693,Oldham,43869.52,138600.0
['Kitchen'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 144}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 288}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'Mid-range'}}",2285,Cheadle,39836.14,936850.0
"['Kitchen', 'Other', 'Bathroom']",0,3,"{'bedrooms': [], 'bathrooms': [30, 73, 37], 'other': {'Kitchen': 28, 'Other': 244}}","['Yes', 'Yes', 'Yes', 'Yes', 'No']","{'bedrooms': [], 'bathrooms': [94, 87, 40], 'other': {'Kitchen': 186, 'Other': 292}}","{'bedrooms': [], 'bathrooms': ['Budget-friendly', 'Mid-range', 'Mid-range'], 'other': {'Kitchen': 'Budget-friendly', 'Other': 'High-end'}}",1235,Prestwich,134725.62,277875.0
"['Bathroom', 'Kitchen']",0,1,"{'bedrooms': [], 'bathrooms': [17], 'other': {'Kitchen': 79}}","['Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [41], 'other': {'Kitchen': 235}}","{'bedrooms': [], 'bathrooms': ['Budget-friendly'], 'other': {'Kitchen': 'Mid-range'}}",1617,Stretford,75555.86,400207.5
"['Other', 'Bathroom']",0,1,"{'bedrooms': [], 'bathrooms': [50], 'other': {'Other': 191}}","['Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [61], 'other': {'Other': 250}}","{'bedrooms': [], 'bathrooms': ['Budget-friendly'], 'other': {'Other': 'Budget-friendly'}}",1595,Oldham,49802.3,271150.0
['Bathroom'],0,1,"{'bedrooms': [], 'bathrooms': [56], 'other': {}}",['Yes'],"{'bedrooms': [], 'bathrooms': [87], 'other': {}}","{'bedrooms': [], 'bathrooms': ['High-end'], 'other': {}}",1270,Prestwich,32161.28,381000.0
"['Bathroom', 'Bedroom', 'Kitchen']",1,3,"{'bedrooms': [81], 'bathrooms': [61, 73, 80], 'other': {'Kitchen': 42}}","['No', 'Yes', 'Yes', 'Yes', 'Yes']","{'bedrooms': [137], 'bathrooms': [93, 80, 49], 'other': {'Kitchen': 126}}","{'bedrooms': ['Mid-range'], 'bathrooms': ['Budget-friendly', 'High-end', 'Budget-friendly'], 'other': {'Kitchen': 'Mid-range'}}",1240,Bolton,133242.45,195300.0
"['Bedroom', 'Bathroom', 'Kitchen']",2,1,"{'bedrooms': [113, 64], 'bathrooms': [1], 'other': {'Kitchen': 203}}","['No', 'Yes', 'Yes', 'Yes']","{'bedrooms': [155, 188], 'bathrooms': [48], 'other': {'Kitchen': 279}}","{'bedrooms': ['High-end', 'High-end'], 'bathrooms': ['High-end'], 'other': {'Kitchen': 'High-end'}}",1051,Levenshulme,118447.6,228592.5
"['Bedroom', 'Bathroom']",2,1,"{'bedrooms': [99, 181], 'bathrooms': [0], 'other': {}}","['Yes', 'Yes', 'Yes']","{'bedrooms': [101, 135], 'bathrooms': [49], 'other': {}}","{'bedrooms': ['Budget-friendly', 'Mid-range'], 'bathrooms': ['Mid-range'], 'other': {}}",808,Stretford,67657.99,226644.0
['Bathroom'],0,1,"{'bedrooms': [], 'bathrooms': [65], 'other': {}}",['Yes'],"{'bedrooms': [], 'bathrooms': [75], 'other': {}}","{'bedrooms': [], 'bathrooms': ['High-end'], 'other': {}}",1726,Stretford,46149.37,484143.0
"['Living room', 'Bathroom', 'Kitchen']",0,3,"{'bedrooms': [], 'bathrooms': [72, 56, 4], 'other': {'Living room': 5, 'Kitchen': 11}}","['Yes', 'No', 'No', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [36, 39, 69], 'other': {'Living room': 131, 'Kitchen': 114}}","{'bedrooms': [], 'bathrooms': ['High-end', 'Budget-friendly', 'Mid-range'], 'other': {'Living room': 'High-end', 'Kitchen': 'Mid-range'}}",542,Manchester City Centre,114984.82,142275.0
"['Living room', 'Bedroom', 'Bathroom']",2,3,"{'bedrooms': [27, 149], 'bathrooms': [24, 17, 71], 'other': {'Living room': 108}}","['No', 'No', 'Yes', 'Yes', 'No', 'Yes']","{'bedrooms': [161, 90], 'bathrooms': [72, 89, 38], 'other': {'Living room': 242}}","{'bedrooms': ['Budget-friendly', 'Budget-friendly'], 'bathrooms': ['High-end', 'High-end', 'High-end'], 'other': {'Living room': 'Mid-range'}}",1276,Sale,173449.16,354090.0
['Kitchen'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 217}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 128}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'Mid-range'}}",707,Oldham,24730.79,155540.0
"['Other', 'Bedroom', 'Kitchen']",2,0,"{'bedrooms': [187, 171], 'bathrooms': [], 'other': {'Other': 85, 'Kitchen': 51}}","['Yes', 'No', 'Yes', 'Yes']","{'bedrooms': [80, 97], 'bathrooms': [], 'other': {'Other': 86, 'Kitchen': 138}}","{'bedrooms': ['High-end', 'High-end'], 'bathrooms': [], 'other': {'Other': 'High-end', 'Kitchen': 'Mid-range'}}",1466,Sale,122195.7,406815.0
['Bedroom'],2,0,"{'bedrooms': [46, 181], 'bathrooms': [], 'other': {}}","['Yes', 'No']","{'bedrooms': [183, 127], 'bathrooms': [], 'other': {}}","{'bedrooms': ['Mid-range', 'Mid-range'], 'bathrooms': [], 'other': {}}",802,Stockport,46977.240000000005,177242.0
"['Bedroom', 'Living room', 'Other']",1,0,"{'bedrooms': [105], 'bathrooms': [], 'other': {'Living room': 186, 'Other': 60}}","['No', 'Yes', 'No']","{'bedrooms': [134], 'bathrooms': [], 'other': {'Living room': 176, 'Other': 276}}","{'bedrooms': ['High-end'], 'bathrooms': [], 'other': {'Living room': 'High-end', 'Other': 'Budget-friendly'}}",1594,Bury,93488.05,274965.0
"['Other', 'Bathroom']",0,1,"{'bedrooms': [], 'bathrooms': [0], 'other': {'Other': 204}}","['No', 'No']","{'bedrooms': [], 'bathrooms': [88], 'other': {'Other': 105}}","{'bedrooms': [], 'bathrooms': ['Mid-range'], 'other': {'Other': 'Mid-range'}}",593,Salford,44713.53999999999,166040.0
['Living room'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 49}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 164}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 'Budget-friendly'}}",1688,Sale,36613.08,624560.0
"['Kitchen', 'Living room', 'Other']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 49, 'Living room': 175, 'Other': 232}}","['Yes', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 155, 'Living room': 145, 'Other': 100}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'Mid-range', 'Living room': 'Mid-range', 'Other': 'High-end'}}",1591,Altrincham,88405.39,501165.0
"['Other', 'Bedroom']",2,0,"{'bedrooms': [99, 187], 'bathrooms': [], 'other': {'Other': 90}}","['Yes', 'Yes', 'Yes']","{'bedrooms': [141, 85], 'bathrooms': [], 'other': {'Other': 92}}","{'bedrooms': ['High-end', 'High-end'], 'bathrooms': [], 'other': {'Other': 'High-end'}}",1238,Sale,93504.96,343545.0
['Other'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 197}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 172}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 'High-end'}}",1774,Wigan,45035.22,316659.0
['Other'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 230}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 185}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 'High-end'}}",1054,Chorlton,28203.91,421600.0
"['Other', 'Kitchen', 'Living room']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 60, 'Kitchen': 55, 'Living room': 139}}","['Yes', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 221, 'Kitchen': 169, 'Living room': 147}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 'High-end', 'Kitchen': 'Budget-friendly', 'Living room': 'Mid-range'}}",2193,Trafford,117115.46,641452.5
"['Other', 'Bathroom']",0,2,"{'bedrooms': [], 'bathrooms': [60, 45], 'other': {'Other': 77}}","['Yes', 'Yes', 'No']","{'bedrooms': [], 'bathrooms': [55, 60], 'other': {'Other': 126}}","{'bedrooms': [], 'bathrooms': ['High-end', 'Mid-range'], 'other': {'Other': 'Mid-range'}}",1089,Withington,70094.68,261360.0
"['Bathroom', 'Kitchen', 'Other']",0,1,"{'bedrooms': [], 'bathrooms': [52], 'other': {'Kitchen': 86, 'Other': 283}}","['No', 'Yes', 'No']","{'bedrooms': [], 'bathrooms': [85], 'other': {'Kitchen': 90, 'Other': 97}}","{'bedrooms': [], 'bathrooms': ['Mid-range'], 'other': {'Kitchen': 'High-end', 'Other': 'High-end'}}",1323,Chorlton,96412.57,396900.0
['Kitchen'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 15}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 131}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'Mid-range'}}",563,Manchester City Centre,22945.53,216755.0
['Bathroom'],0,2,"{'bedrooms': [], 'bathrooms': [26, 6], 'other': {}}","['No', 'Yes']","{'bedrooms': [], 'bathrooms': [40, 41], 'other': {}}","{'bedrooms': [], 'bathrooms': ['High-end', 'Budget-friendly'], 'other': {}}",822,Bury,43918.95,189060.0
['Kitchen'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 3}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 94}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'Mid-range'}}",887,Salford,22945.53,273196.0
['Living room'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 258}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 95}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 'Budget-friendly'}}",877,Bury,27052.12,201710.0
['Other'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 277}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 155}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 'High-end'}}",859,Prestwich,30615.85,257700.0
"['Other', 'Living room', 'Kitchen']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 208, 'Living room': 43, 'Kitchen': 110}}","['Yes', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 160, 'Living room': 241, 'Kitchen': 160}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 'Mid-range', 'Living room': 'High-end', 'Kitchen': 'Mid-range'}}",1322,Wigan,83910.06999999999,208215.0
['Other'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 76}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 95}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 'High-end'}}",2147,Trafford,41971.61,837330.0
['Other'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 193}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 108}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 'Mid-range'}}",794,Stockport,22548.8,227084.0
['Kitchen'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 102}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 207}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'Mid-range'}}",948,Bury,23113.51,239844.0
['Kitchen'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 38}}",['No'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 162}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'Budget-friendly'}}",1262,Rochdale,25876.67,239780.0
['Bedroom'],2,0,"{'bedrooms': [40, 125], 'bathrooms': [], 'other': {}}","['Yes', 'No']","{'bedrooms': [104, 87], 'bathrooms': [], 'other': {}}","{'bedrooms': ['Budget-friendly', 'Budget-friendly'], 'bathrooms': [], 'other': {}}",1156,Sale,50852.94,363562.0
"['Kitchen', 'Bathroom']",0,2,"{'bedrooms': [], 'bathrooms': [37, 9], 'other': {'Kitchen': 17}}","['Yes', 'No', 'No']","{'bedrooms': [], 'bathrooms': [85, 72], 'other': {'Kitchen': 250}}","{'bedrooms': [], 'bathrooms': ['High-end', 'High-end'], 'other': {'Kitchen': 'High-end'}}",2370,Cheadle,140785.62,728775.0
['Living room'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 188}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 190}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 'Budget-friendly'}}",1519,Bolton,26963.39,318990.0
['Bedroom'],3,0,"{'bedrooms': [0, 102, 158], 'bathrooms': [], 'other': {}}","['No', 'No', 'No']","{'bedrooms': [94, 170, 159], 'bathrooms': [], 'other': {}}","{'bedrooms': ['Budget-friendly', 'High-end', 'Mid-range'], 'bathrooms': [], 'other': {}}",1016,Rochdale,76991.18,144780.0
['Kitchen'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 65}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 96}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'Budget-friendly'}}",1728,Bolton,35779.14,362880.0
['Bathroom'],0,2,"{'bedrooms': [], 'bathrooms': [0, 20], 'other': {}}","['Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [75, 37], 'other': {}}","{'bedrooms': [], 'bathrooms': ['Budget-friendly', 'Mid-range'], 'other': {}}",932,Chorlton,40476.88,372800.0
"['Bedroom', 'Other', 'Kitchen']",2,0,"{'bedrooms': [50, 147], 'bathrooms': [], 'other': {'Other': 75, 'Kitchen': 172}}","['Yes', 'Yes', 'Yes', 'Yes']","{'bedrooms': [140, 155], 'bathrooms': [], 'other': {'Other': 125, 'Kitchen': 276}}","{'bedrooms': ['High-end', 'High-end'], 'bathrooms': [], 'other': {'Other': 'Mid-range', 'Kitchen': 'Budget-friendly'}}",1291,Didsbury,114732.29,406665.0
"['Living room', 'Kitchen']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 142, 'Kitchen': 152}}","['Yes', 'No']","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 91, 'Kitchen': 281}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 'High-end', 'Kitchen': 'Budget-friendly'}}",971,Didsbury,49462.630000000005,346647.0
"['Living room', 'Bathroom']",0,1,"{'bedrooms': [], 'bathrooms': [11], 'other': {'Living room': 195}}","['Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [53], 'other': {'Living room': 200}}","{'bedrooms': [], 'bathrooms': ['High-end'], 'other': {'Living room': 'High-end'}}",1020,Tameside,55685.66,190740.0
['Other'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 91}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 281}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 'Budget-friendly'}}",520,Salford,18680.71,160160.0
"['Bedroom', 'Living room']",1,0,"{'bedrooms': [26], 'bathrooms': [], 'other': {'Living room': 53}}","['No', 'Yes']","{'bedrooms': [174], 'bathrooms': [], 'other': {'Living room': 85}}","{'bedrooms': ['Budget-friendly'], 'bathrooms': [], 'other': {'Living room': 'High-end'}}",1534,Stretford,57989.68,430287.0
"['Bedroom', 'Bathroom']",1,3,"{'bedrooms': [85], 'bathrooms': [14, 58, 32], 'other': {}}","['Yes', 'No', 'Yes', 'No']","{'bedrooms': [84], 'bathrooms': [38, 75, 57], 'other': {}}","{'bedrooms': ['High-end'], 'bathrooms': ['Mid-range', 'Mid-range', 'High-end'], 'other': {}}",1783,Bolton,167150.4,280822.5
['Bedroom'],2,0,"{'bedrooms': [153, 78], 'bathrooms': [], 'other': {}}","['No', 'Yes']","{'bedrooms': [101, 141], 'bathrooms': [], 'other': {}}","{'bedrooms': ['High-end', 'Mid-range'], 'bathrooms': [], 'other': {}}",1243,Chorlton,59603.92,422620.0
['Bedroom'],1,0,"{'bedrooms': [49], 'bathrooms': [], 'other': {}}",['No'],"{'bedrooms': [88], 'bathrooms': [], 'other': {}}","{'bedrooms': ['Mid-range'], 'bathrooms': [], 'other': {}}",1469,Oldham,26352.48,293800.0
['Kitchen'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 17}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 227}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'Mid-range'}}",1330,Wigan,26668.09,279300.0
['Other'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 60}}",['No'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 215}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 'Mid-range'}}",1373,Rochdale,24995.89,286957.0
"['Kitchen', 'Bathroom']",0,3,"{'bedrooms': [], 'bathrooms': [62, 71, 9], 'other': {'Kitchen': 278}}","['Yes', 'Yes', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [76, 84, 71], 'other': {'Kitchen': 220}}","{'bedrooms': [], 'bathrooms': ['Mid-range', 'High-end', 'Budget-friendly'], 'other': {'Kitchen': 'Mid-range'}}",1003,Stockport,97628.98,195585.0
"['Other', 'Bathroom']",0,2,"{'bedrooms': [], 'bathrooms': [67, 60], 'other': {'Other': 267}}","['Yes', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [74, 51], 'other': {'Other': 200}}","{'bedrooms': [], 'bathrooms': ['Mid-range', 'High-end'], 'other': {'Other': 'Mid-range'}}",1446,Stockport,89448.98,281970.0
['Kitchen'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 169}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 207}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'Budget-friendly'}}",1648,Stretford,39280.36,543840.0
"['Living room', 'Bathroom']",0,3,"{'bedrooms': [], 'bathrooms': [2, 10, 27], 'other': {'Living room': 200}}","['No', 'Yes', 'Yes', 'No']","{'bedrooms': [], 'bathrooms': [85, 55, 49], 'other': {'Living room': 166}}","{'bedrooms': [], 'bathrooms': ['Mid-range', 'Mid-range', 'Mid-range'], 'other': {'Living room': 'High-end'}}",1104,Chorlton,113655.48,331200.0
['Bedroom'],1,0,"{'bedrooms': [26], 'bathrooms': [], 'other': {}}",['Yes'],"{'bedrooms': [160], 'bathrooms': [], 'other': {}}","{'bedrooms': ['Budget-friendly'], 'bathrooms': [], 'other': {}}",916,Bolton,21837.76,211596.0
"['Living room', 'Bathroom']",0,1,"{'bedrooms': [], 'bathrooms': [44], 'other': {'Living room': 100}}","['Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [49], 'other': {'Living room': 188}}","{'bedrooms': [], 'bathrooms': ['Mid-range'], 'other': {'Living room': 'High-end'}}",738,Salford,47256.33,175644.0
